3735,2125,355,333,259,211,156,135,114,99,97,73,68,55,54,48,46,45,45,42,
3735,2125,355,333,259,211,156,135,114,99,97,73,68,55,54,48,46,45,45,42,
3735,2125,355,333,259,211,156,135,113,99,97,73,68,55,54,48,46,45,45,42,
3704,1854,123,56,75,27,31,31,22,35,57,5,0,7,29,18,20,11,15,38,
346,1148,92,152,37,6,136,28,57,46,18,3,0,22,23,0,16,20,12,7,
1684,1768,258,176,125,20,80,77,87,65,53,11,0,42,31,12,35,25,30,34,
1095,639,35,41,152,192,8,9,6,4,90,41,56,1,4,29,4,4,6,36,
1781,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2599,1038,127,68,29,8,24,28,16,26,41,6,0,4,10,11,17,9,11,18,
186,1366,187,90,46,9,76,83,70,66,0,6,5,34,42,13,35,17,32,0,
2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
416,0,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
462,1396,254,249,118,28,103,89,79,77,12,32,16,49,33,23,32,31,30,9,
12,145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
1209,1959,348,333,255,192,154,121,114,99,96,72,68,54,53,48,45,45,44,42,
435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141,478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
