3735,2125,355,333,259,211,156,135,114,99,97,73,68,55,54,48,46,45,45,42,
3097,2041,178,58,111,119,90,49,19,68,66,21,42,29,45,23,30,3,36,15,
2531,1229,217,173,244,204,51,63,49,35,94,58,62,25,19,42,28,7,20,40,
3418,618,153,44,39,2,44,37,23,33,5,6,0,6,23,19,22,11,11,5,
54,125,115,301,68,19,54,35,43,21,1,32,9,26,16,1,19,12,13,3,
529,920,134,6,5,6,22,22,13,29,14,15,6,13,28,4,19,4,21,1,
534,1435,96,21,14,25,24,13,7,35,13,35,53,10,12,18,10,3,13,0,
781,7,2,0,0,1,4,0,0,0,0,0,0,1,0,0,0,2,1,0,
1104,284,136,38,5,5,19,27,13,18,33,3,2,2,9,13,13,4,5,12,
660,21,16,5,1,2,15,8,7,2,4,3,16,4,0,11,3,1,2,1,
99,79,271,52,89,73,43,20,22,17,39,67,67,26,5,17,17,10,19,6,
259,60,1,0,1,3,5,1,2,6,0,2,1,0,3,0,1,2,0,0,
982,100,12,1,0,0,6,6,4,7,1,0,0,5,7,3,2,2,1,3,
421,148,86,20,5,4,8,11,5,28,23,16,0,4,18,2,15,1,12,6,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
241,22,6,0,0,0,1,2,0,0,1,0,0,0,3,0,0,0,2,0,
22,142,10,3,1,2,7,2,9,5,0,0,1,7,8,5,2,1,1,0,
1,172,0,0,0,0,4,5,1,0,0,0,0,1,2,0,2,0,2,0,
19,76,54,50,55,118,11,22,22,31,69,25,63,10,4,30,5,10,5,21,
63,75,12,28,20,15,10,5,4,3,26,11,0,0,1,1,1,0,2,31,
8,23,4,10,93,102,3,3,2,4,29,40,10,3,1,6,0,0,2,5,
16,302,9,2,0,0,11,4,1,15,0,0,0,1,5,0,7,0,11,0,
1,20,42,0,0,0,11,116,33,9,0,0,0,37,14,0,9,3,11,0,
25,26,0,0,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,
3,241,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,
629,108,27,8,0,0,4,0,1,6,8,2,0,0,2,0,3,1,1,1,
257,6,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,
181,19,2,26,11,1,1,2,1,0,20,0,0,0,0,1,3,1,1,26,
3,51,43,13,6,2,12,18,54,8,0,5,0,7,14,3,25,7,18,0,
5,7,24,24,9,4,6,13,13,7,30,19,57,4,14,33,3,4,5,6,
9,250,2,1,2,2,3,1,0,0,0,0,0,13,2,0,0,0,1,0,
2,35,19,1,0,1,85,0,4,4,0,0,0,0,4,0,1,0,1,0,
507,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,115,20,4,2,3,2,2,1,14,0,0,0,1,3,0,5,1,1,0,
259,9,0,0,1,0,2,2,2,2,0,0,0,0,0,0,0,0,1,0,
195,4,8,0,0,1,1,0,4,2,0,0,0,0,0,0,1,0,0,0,
30,21,7,61,20,4,2,0,0,4,60,2,0,0,1,0,2,0,1,39,
431,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
243,7,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,
168,469,59,16,1,0,11,3,4,15,1,2,0,2,9,1,5,1,8,2,
79,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
1,4,62,22,5,3,10,62,26,24,0,1,0,11,4,0,9,14,14,0,
121,13,4,0,0,0,3,0,1,3,0,0,0,0,4,0,0,0,2,0,
142,79,2,0,0,0,0,0,1,2,1,0,0,1,1,0,0,1,0,0,
141,2,5,0,0,1,2,0,4,2,0,0,0,0,0,0,0,0,0,0,
225,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
122,1,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,
153,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
38,133,16,2,4,0,3,0,3,6,0,0,0,0,2,0,0,0,5,0,
0,10,20,49,121,15,11,6,37,1,1,6,1,19,3,0,2,5,1,1,
97,5,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,
42,66,1,0,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,
36,2,0,0,0,0,0,0,0,6,0,2,0,2,0,1,0,0,0,0,
45,160,17,9,3,21,5,1,2,7,1,21,1,0,0,1,0,2,3,0,
137,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,
37,230,7,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,
38,52,2,4,17,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,4,1,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,2,0,
40,41,0,1,1,0,0,0,1,1,5,0,0,0,12,0,0,0,2,0,
